Prefix,Survey
AP,Average Price Data
BD,Business Employment Dynamics
BG,Collective Bargaining-State and Local Government
BP,Collective Bargaining-Private Sector
CC,Employer Costs for Employee Compensation (SIC 1986-2003)
CD,Occupational Injuries and Illness - Characteristics Data (SIC)
CE,"Employment, Hours, and Earnings-National (NAICS)"
CF,Census of Fatal Occupational Injuries (1992-2002)
CH,Nonfatal cases involving days away from work: selected characteristics 
CI,Employment Cost Index (NAICS)
CM,Employer Costs for Employee Compensation (NAICS)
CS,Occupational Injuries and Illnesses - Characteristics Data
CU,Consumer Price Index-All Urban Consumers (Current Series)
CW,Consumer Price Index-Urban Wage Earners and Clerical Workers (Current Series)
CX,Consumer Expenditure Survey
EB,Employee Benefits Survey (1979 - 2006)
EC,Employment Cost Index (SIC 1975 - 2005)
EE,"Employment, Hours, and Earnings-National (SIC)"
EI,International Price Index
FI,Census of Fatal Occupational Injuries
FM,Marital and Family Labor Force Statistics
FW,Census of Fatal Occupational Injuries
GG,Green Goods and Services
GP,Geographic Profile
HC,Occupational Injuries and Illness - Characteristics Data (NAICS)
HS,Occupational Injury and Illness Rates (based on 1972 SIC codes)
II,Occupational Injuries and Illnesses Industry Data
IN,International Labor Statistics
IP,Industry Productivity and Costs
JL,Job Openings and Labor Turnover Survey (SIC)
JT,Job Openings and Labor Turnover Survey (NAICS)
LA,Local Area Unemployment Statistics
LE,Weekly and Hourly Earnings Data from the Current Population Survey
LI,Department Store Inventory Price Index
LN,Labor Force Statistics from the Current Population Survey (NAICS)
LU,Union Affiliation Data from the Current Population Survey
ML,Mass Layoff Statistics
MP,Major Sector Multifactor Productivity Index
MU,Consumer Price Index-All Urban Consumers (Old Series)
MW,Consumer Price Index-Urban Wage Earners and Clerical Workers (Old Series)
NB,National Compensation Survey
NC,National Compensation Survey (SIC 1997-2006)
ND,Producer Price Index Revision-Discontinued Series (NAICS)
NL,National Longitudinal Survey
NW,National Compensation Survey (NAICS)
OE,Occupation Employment Statistics
OR,Occupational Requirements Survey 
PC,Producer Price Index Revision-Current Series
PD,Producer Price Index Revision-Discontinued Series (SIC)
PR,Major Sector Productivity and Costs Index
SA,"State and Area Employment, Hours, and Earnings (SIC)"
SH,Occupational Injury and Illness Rates (based on 1987 SIC codes)
SI,Occupational Injury and Illness Rates (2002 data)
SM,"State and Area Employment, Hours, and Earnings (NAICS)"
SU,Chained CPI-All Urban Consumers
WD,Producer Price Index Commodity - Discontinued Series
WM,Modeled Wage Estimates
WP,Producer Price Index - Commodities
WS,Work Stoppage Data
